epoch,train_loss,val_loss,lr
1,1.2996425687530895,1.154341147059486,0.001
2,1.0787592110810456,1.2443470160166423,0.001
3,1.0241037173035703,1.125665443284171,0.001
4,1.006091284899064,1.0521848088219052,0.001
5,0.9746933263025166,1.2598164876302083,0.001
6,0.9498284341376505,1.1242253893897647,0.001
7,0.9317567046777702,1.0487707768167769,0.001
8,0.9192857403814056,1.0436387317521232,0.001
9,0.8878618051976334,1.1018406237874712,0.001
10,0.8783256941371493,0.9372656033152625,0.001
11,0.8551731705665588,0.968014623437609,0.001
12,0.8516292726552045,0.9253819698379153,0.001
13,0.8267985140835797,1.7460957141149611,0.001
14,0.8172507344940563,1.7304114387148903,0.001
15,0.7987544919237678,0.9171677827835083,0.001
