epoch,train_loss,val_loss,lr
1,1.3875648335712711,1.3735817562450061,0.001
2,1.080639965650512,1.2150352001190186,0.001
3,1.0470813658179305,1.1577765291387385,0.001
4,1.0082994917543924,1.1479673277248035,0.001
5,0.9496817661494743,1.2775457555597478,0.001
6,0.8884979588229481,1.383157578381625,0.001
7,0.850112993542741,1.1555515148422935,0.001
8,0.8201624852855031,1.3358240886168047,0.0005
9,0.7415063192204732,1.1828223358501087,0.0005
10,0.7247078157052761,1.107826910235665,0.0005
11,0.6939899398059379,1.124709958379919,0.0005
12,0.667939453590207,1.2410018931735645,0.0005
13,0.6569349431410069,1.1681829474189065,0.0005
14,0.655887592129591,1.1791971976106816,0.00025
15,0.6235150345941869,1.05896564505317,0.00025
16,0.6145090489852719,0.9918491840362549,0.00025
17,0.6000792289652476,0.7379571849649603,0.00025
18,0.587488748678347,0.7210649631240151,0.00025
19,0.5793203217227284,0.6389402557503093,0.00025
20,0.5779398766959586,0.6562211784449491,0.00025
21,0.5796922837815633,0.6536545157432556,0.00025
22,0.574187894419926,0.6627532785589044,0.00025
23,0.5617170304786868,0.6678224910389293,0.000125
24,0.5415609965964061,0.6102231957695701,0.000125
25,0.5432116919901313,0.6073265942660245,0.000125
26,0.5363475789384144,0.6087271300229159,0.000125
27,0.5330961433852591,0.6005293455990878,0.000125
28,0.5208466321956821,0.6011096753857352,0.000125
29,0.5237531596567573,0.5982229926369407,0.000125
30,0.5216279836689554,0.5969939042221416,0.000125
